  , 	  , 	T1, 	T2, 	T3, 	T4, 	T5, 	T6, 	T7, 	T8, 	T9, 	T10, 	T11, 	T12, 	T13, 	T14, 	T15, 	T16, 	T17, 	T18, 	T19,  	T20,  	T21,  	T22,  	T23,  	T24  
K1, 	S89, 	0.283,	0.000,	0.022,	0.061,	0.033,	0.280,	0.000,	0.117,	0.036,	0.314,	0.631,	0.861,	0.946,	0.391,	0.936,	0.786,	0.710,	0.418,	0.427,	0.199,	0.148,	0.000,	0.000,	0.024, 
K1, 	S90, 	0.000,	0.000,	0.000,	0.000,	0.268,	0.441,	0.232,	0.000,	0.302,	0.360,	0.898,	0.875,	0.728,	0.960,	0.762,	0.690,	0.922,	0.700,	0.294,	0.460,	0.361,	0.121,	0.261,	0.239, 
K1, 	S91, 	0.114,	0.000,	0.000,	0.000,	0.032,	0.000,	0.000,	0.000,	0.133,	0.235,	0.572,	0.723,	0.960,	1.045,	0.960,	0.715,	0.778,	0.340,	0.340,	0.398,	0.119,	0.254,	0.000,	0.189, 
K1, 	S92, 	0.357,	0.022,	0.000,	0.196,	0.031,	0.210,	0.020,	0.116,	0.242,	0.479,	0.553,	0.712,	0.484,	0.376,	0.523,	0.907,	0.591,	0.431,	0.400,	0.306,	0.000,	0.093,	0.000,	0.184, 
K1, 	S93, 	0.365,	0.342,	0.000,	0.067,	0.000,	0.016,	0.000,	0.096,	0.051,	0.373,	0.830,	0.957,	0.978,	0.348,	0.733,	0.956,	0.568,	0.582,	0.456,	0.313,	0.184,	0.181,	0.248,	0.203, 
K1, 	S94, 	0.300,	0.030,	0.228,	0.270,	0.587,	0.277,	0.000,	0.489,	0.000,	0.320,	0.521,	0.770,	0.960,	0.810,	0.960,	0.844,	0.649,	0.622,	0.249,	0.301,	0.249,	0.135,	0.183,	0.245, 
K1, 	S95, 	0.000,	0.000,	0.005,	0.000,	0.027,	0.336,	0.000,	0.410,	0.214,	0.200,	0.819,	0.356,	0.862,	0.952,	0.960,	1.020,	0.552,	0.637,	0.562,	0.347,	0.206,	0.300,	0.103,	0.244, 
K1, 	S96, 	0.000,	0.000,	0.077,	0.065,	0.278,	0.274,	0.000,	0.114,	0.243,	0.429,	0.752,	0.840,	0.613,	0.812,	0.390,	0.556,	0.898,	0.341,	0.623,	0.300,	0.009,	0.098,	0.167,	0.141, 
K1, 	S97, 	0.346,	0.000,	0.000,	0.000,	0.070,	0.000,	0.000,	0.081,	0.289,	0.486,	0.662,	0.857,	0.793,	0.798,	0.830,	0.764,	0.721,	0.706,	0.264,	0.241,	0.082,	0.148,	0.227,	0.090, 
K1, 	S98, 	0.113,	0.000,	0.000,	0.317,	0.028,	0.000,	0.233,	0.000,	0.041,	0.390,	0.641,	0.766,	0.874,	0.824,	0.960,	0.779,	0.559,	0.756,	0.250,	0.307,	0.044,	0.412,	0.070,	0.133, 
